country,count_visit
United States,10
Japan,7
Russia,7
Germany,6
United Arab Emirates,6
France,6
China,5
Nepal,5
Singapore,5
Sri Lanka,4
Uzbekistan,4
United Kingdom,4
Brazil,4
Indonesia,3
Saudi Arabia,3
Bhutan,3
South Africa,3
Maldives,3
Bangladesh,2
Australia,2
Argentina,2
Thailand,2
Qatar,2
South Korea,2
Mauritius,2
Kazakhstan,2
Malaysia,2
Myanmar,2
Kyrgyzstan,2
Afghanistan,2
Switzerland,2
Laos,2
Canada,2
Italy,2
Seychelles,1
Israel,1
Portugal,1
Netherlands,1
Mongolia,1
Tajikistan,1
Spain,1
Turkmenistan,1
Mexico,1
Vietnam,1
Mozambique,1
Turkey,1
Pakistan,1
Belgium,1
Tanzania,1
Iran,1
Kenya,1
Philippines,1
Ireland,1
Rwanda,1
Oman,1
Palestine,1
Croatia,1
Kuwait,1
Nigeria,1
Guyana,1
Brunei,1
Cyprus,1
Poland,1
Ukraine,1
Austria,1
Namibia,1
Greece,1
Egypt,1
Papua New Guinea,1
Trinidad & Tobago,1
Denmark,1
Uganda,1
Ghana,1
Sweden,1
Jordan,1
Fiji,1
